"alpha_iv","mu_alpha","mu_att","mu_statquo","mu_cost","beta_imr","a1","b1","b2","c1","c2","c3","d1","d2","d3","d4","logLike"
5,0,26,-4,-26,6,9,7,2,1.6,2,-2.5,1,2,1,-1,-1662.30320355204
5,0,26,-4,-26,6,9,7,2,1.6,2,-2.5,1,2,1,-1,-1662.30320355204
4.7090815759293,-0.165432720677927,25.9910592123342,-4.06058519829821,-25.9077439042594,6.05583042366197,9.15388216525025,7.10490174645383,1.75507795170415,1.3945933137089,2.35412281249592,-2.69266064555268,0.788334152981406,2.45979824790265,0.881414614719688,-1.20099857465539,-1655.88751540793
4.52191657131684,-0.278590935294127,26.0792825529484,-4.15559823178351,-25.8053648132252,6.13846228429987,9.24702966133728,7.01680992452115,1.74289807846416,1.47002798088103,2.34344626933428,-2.68489111173814,0.841191404490383,2.50770307236156,0.904712638313127,-1.23585430910165,-1654.09085364614
4.60540055986189,-0.203083479610196,26.1240264747436,-4.3983006226087,-25.7257951549189,6.37939065835675,9.20962113655473,6.77605713900748,1.70184995662246,1.47604600587259,2.30827821151387,-2.73187243492442,0.822504142094327,2.6006427461084,0.977388426771627,-1.31887941704796,-1653.28480783682
4.53101755489432,-0.266773245983695,25.9722388917851,-4.76785836208458,-25.8715521382578,6.78774642122417,9.24621057559407,6.33385424990206,1.70140921867547,1.31094059396391,2.1212066048192,-2.85072410038638,0.63792695263322,2.56269220304615,1.15303930254458,-1.38260357126649,-1651.9268524172
4.41871811525576,-0.208164358279366,25.6609510735291,-5.15563652516592,-26.1054942370121,7.43751070224415,9.29183788684195,5.53544216492948,1.51828087271028,1.07780423899639,1.85589640016102,-3.47526664800597,0.627607588961123,2.52687420346608,1.58967089077691,-1.4219359154094,-1651.36023632195
4.49915642260896,-0.37327518761518,25.6057158092103,-5.19286324807415,-26.1522697448628,7.56103013261269,9.2507984570806,5.3921280660672,1.44553551450341,1.04841273231735,1.73468720480352,-3.5516024854021,0.591895699178084,2.58256229004709,1.76089879567911,-1.48291214487663,-1651.25789069535
4.48931666766476,-0.349300911545855,25.5971198770467,-5.1427457582785,-26.1734354512118,7.57511165539341,9.26033741214347,5.38659331978736,1.39226265805109,1.05709746262508,1.61630234131631,-3.52348372357848,0.539649324765458,2.65128624615573,1.90278928106586,-1.55472408908957,-1651.09627538228
4.48817143752597,-0.282842834190792,25.7252990283047,-4.72278058193655,-26.0872439576646,7.49898419616958,9.2872107221404,5.5959392457129,1.21654087891284,1.08316512470728,1.19425866607554,-3.88525514755149,0.522715057405696,2.73182852088168,2.36674362428636,-1.74619480469438,-1650.71358786855
4.49470579190963,-0.268591157613498,25.7084244386952,-4.3422804095311,-26.1574697557387,7.58700900046118,9.31028403874274,5.44154825127109,1.06069507906481,1.14948061460343,0.764133179072654,-4.36710576380977,0.531108212319919,2.90409991739492,2.7921462627461,-1.86735876023654,-1650.5518448059
4.51234195897859,-0.281413446643784,25.7455163574061,-4.03499371095795,-26.1984250329617,7.63222377032235,9.32175056914766,5.30120471538234,1.03359289890284,1.24517679533506,0.582460518748082,-4.55877268399053,0.517041839176674,3.04050737506698,2.87361703241694,-1.80138945716568,-1650.481942784
4.51848318943492,-0.294363212015874,25.7865028554622,-3.80211214872589,-26.2156491467157,7.70985244211086,9.3186499600025,5.13043903683958,1.07127007856139,1.29088599092718,0.521018447232707,-4.5878449753948,0.486540876526174,3.16432124614078,2.85743946249757,-1.7558100014362,-1650.442593598
4.5168589940592,-0.298451089874368,25.8809198743696,-3.45727680426408,-26.1909952704268,7.85294141181321,9.30916338656035,4.91792689662674,1.18063409505999,1.31263213617922,0.384850515477532,-4.63457397247398,0.383125086156347,3.33359782864124,2.73324857413523,-1.7027277546713,-1650.39794772983
4.50175920515116,-0.301688293847648,26.1211731367717,-2.69538207591367,-26.0658597998694,8.26865223898604,9.2759077372019,4.48123231330877,1.48636572096013,1.28830863316031,-0.0100788199098207,-4.69329814987609,0.054681738376843,3.74710969485695,2.41637683888358,-1.58756021743325,-1650.30315421253
4.49398741160847,-0.301507333494091,26.2184056067949,-2.41989828995444,-26.0007766811835,8.4510746596773,9.26085650548752,4.34135759879823,1.63410171010125,1.26778257096012,-0.165481483836021,-4.67988076089718,-0.101926015579332,3.90722895287375,2.26315412078835,-1.52308971353412,-1650.26258910143
4.48283657864236,-0.299704153906151,26.3317187897643,-2.1013562475466,-25.9125161921207,8.69862732569284,9.24222843456633,4.19636255348476,1.84012424167764,1.24110888796591,-0.354120421699771,-4.63698676370298,-0.315133652943799,4.10503662049181,2.07247795203374,-1.42199599215146,-1650.20766246521
4.47432067285957,-0.297251833076433,26.3998425033668,-1.88699184233154,-25.8498381818562,8.89136493122058,9.22980359678314,4.1140889993026,2.00261030112709,1.22948872127773,-0.489412961699813,-4.59933689630978,-0.474580891072153,4.24779911075521,1.94783065798646,-1.34121255478758,-1650.16743910002
4.43787799614164,-0.283241663903245,26.5979101458417,-1.11849604144763,-25.6136763930375,9.71735083565507,9.18440526949607,3.89165316918801,2.71273743021342,1.22387935862648,-0.985990276826395,-4.39660943776758,-1.1094839214114,4.80307442251807,1.51545861961116,-1.00206544889272,-1650.10758186765
4.44077218166362,-0.279733522557808,26.4624061147611,-1.44875048352064,-25.7042188904909,9.54737404292915,9.20163829931711,4.06554148925997,2.55094428840737,1.24256935430895,-0.774635722369473,-4.3609386682186,-0.913036805026404,4.6087935232044,1.73774574524922,-1.10744805071525,-1650.05831756842
