"","seed","LL","message","b_w","mu_x","sigma_x","b_cost","mu_alpha","sigma_alpha","sigma_x_alpha","scale_RP","scale_SP","b_w_se","mu_x_se","sigma_x_se","b_cost_se","mu_alpha_se","sigma_alpha_se","sigma_x_alpha_se","scale_RP_se","scale_SP_se","maxEigen","uncorrected_wtp","fullsample_wtp"
"1",1627100021.5747,-1406.50242444958,1,1.85896151630612,2.22183532470007,1.19334994867009,-1,-0.0160302674303587,0.154818451883396,1.89437521818865,1,1.87050795292631,1.29016034496851,0.442315785054248,0.284286632680279,NA,0.294902053378938,0.197956885062047,2.41556335702447,NA,0.188443807909532,6.13241,2.44958015010943,1.84576650397281
"2",1627100605.04658,-1417.28124617001,1,2.87407113239616,1.96674374397902,1.11977086641922,-1,0.0995813164468446,0.703738163852309,3.56524060342771,1,1.9874610165897,0.82564923993861,0.169322204918094,0.215979365484738,NA,0.100126648777367,1.74693089590229,1.1469361900731,NA,0.19556650229089,0.046034,2.32636961907304,1.58417781241332
"3",1627100899.36407,-1351.86603944016,1,21.6168530573061,1.78569338285701,0.921492123210604,-1,0.140728951680866,18.7998887698244,18.2526983064716,1,2.10575899946602,4.36752905004118,0.175997303054762,0.344080413092458,NA,28.5669630755353,2.63993875890072,2.05312557029926,NA,0.674552592413132,0.042702,1.9837035631029,1.53093463523376
"4",1627101320.15855,-1392.30074201512,1,41.3417906561888,1.80898372781558,1.15308375261292,-1,0.703511523249353,37.6186525100813,41.1804861843043,1,2.28344300144162,27.2327966884799,0.133091494817614,0.174540343335319,NA,0.895439724181464,24.0162562946831,27.5072396180761,NA,0.248614594297322,0.022967,2.02808869124361,1.55580713951759
"5",1627102057.80591,-1363.51749627146,1,3.81364450741807,1.95563261081291,1.27229513749417,-1,0.0232625824492676,1.34472604362721,4.12249662206826,1,1.91567665119796,2.27935413149947,0.194389710772379,0.261123078073607,NA,0.0252956805980485,1.00466965817679,3.0259386750132,NA,0.221307879662862,420.872534,2.43145152056833,1.76954116366783
"6",1627102423.78681,-1420.79549873451,1,33.6787888114506,2.31255134885977,1.41988208258712,-1,1.99619866001211,33.3328661576226,34.7545863334737,1,1.95926974621252,12.9677334293375,0.17531169889362,0.210883282237893,NA,1.06035361285761,13.0701758437222,12.4079467309446,NA,0.209643700552177,-0.000444,2.51251181843718,1.82426457738017
"7",1627102838.52134,-1416.79708780791,1,2.18622807175956,1.77126749987904,0.971288107499034,-1,0.0868144688948076,-0.00383977693971048,2.53430658755057,1,2.16430283886396,0.810701965935887,0.174052704176503,0.192306985165117,NA,0.0984446647123834,0.00560744112256765,1.3657250587356,NA,0.195864826130313,-0.359706,2.03191718696126,1.63648779766317
"8",1627103065.79803,-1381.47836795527,1,2.53623802791792,2.03441055693291,1.12144262479406,-1,-0.265932562244215,-1.03275099325267,2.59444381563714,1,1.92528550183162,2.19099040028984,0.273534599334291,0.222878886601077,NA,0.239018671883327,4.88616662703206,1.91557692754556,NA,0.20900512121872,-0.017238,2.37258542429932,1.66383740323493
"9",1627103356.77131,-1425.98363074905,1,7.29310313842213,1.86600564104473,0.586846984380561,-1,0.0922039464898143,6.63466583789355,7.48485152445613,1,2.01175943596081,6.93620965753521,0.160527542526077,0.181830348274026,NA,0.219519134079597,7.64537394464411,6.90122647216674,NA,0.175616336001768,-0.004277,2.02370672095085,1.69078967521024
"10",1627103742.88481,-1371.68212842739,1,1.99688790235521,2.39423506213866,0.922793930644266,-1,-0.0535212656411077,0.907224513197439,1.71221587668528,1,1.69581102473411,0.90051935618227,0.304320281170552,0.235599407342416,NA,0.116596864172654,1.20424366035663,1.4082295833251,NA,0.171185522508628,0.451813,2.54611383386327,1.7347133815272
"11",1627103977.0744,-1377.44648700247,1,3.38381844195331,1.88850554911051,1.02654720160351,-1,-0.000308122899976798,0.440715709503581,4.09898224274285,1,2.19195126309926,0.181118035849501,0.133516872253062,0.201791112949598,NA,0.00139956373798758,0.741693138297177,0.0409362399518353,NA,0.221021116173539,172.958869,2.3127251759157,1.59673204422495
"12",1627104251.29942,-1381.3563118504,1,31.9415346257988,1.63949944697478,0.886952440738615,-1,-2.22237861783566,-4.42481264159466,43.1208615566771,1,2.03695656458293,34.5951073815222,0.129450963205968,0.218275627849535,NA,3.61948828089205,8.8726282094397,48.7114175467728,NA,0.17966230130357,-0.000142,2.00784644181739,1.62905780978023
"13",1627105109.72552,-1432.60733236114,1,3.6098530857668,2.0197041662475,0.98042301436038,-1,-0.00533691532338459,3.90154031997639,2.78580576556008,1,2.2081969973554,1.27470710969331,0.199243891853007,0.16639707412152,NA,0.000812567406193456,2.21681357914621,0.418384475723739,NA,0.230249976481876,0.040577,2.04456712929653,1.64860244807845
"14",1627105421.67826,-1376.97546804255,1,3.1621073367354,1.88106533613045,0.936698866878149,-1,-0.0480668777207765,1.47992058258675,3.32417718496855,1,2.04705191208933,2.25858753968573,0.169158210438555,0.196664819579011,NA,0.0448260852954373,2.23557451950889,2.65674216849566,NA,0.192909963884674,0.042148,2.13228493820185,1.73470072892813
"15",1627105700.43697,-1401.58236162159,1,1.52353130161703,2.25168999831163,1.030753358514,-1,0.0630232533824277,-0.540628155537907,0.858461706855289,1,1.9693888624068,0.476197272666585,0.206311895749106,0.205283334828658,NA,0.0608488078621026,1.68578218632634,0.47775530255534,NA,0.201146822045621,0.214186,2.23313941087916,1.65658521280656
