"","mu_log_b_tt","sigma_log_b_tt","mu_log_b_tc","sigma_log_b_tc","mu_log_b_hw","sigma_log_b_hw","mu_log_b_ch","sigma_log_b_ch"
"mu_log_b_tt",1,0.335963696323277,0.868325316739536,-0.240488877290202,0.386240601855444,0.0378107479246385,0.513463013554404,-0.128035966585991
"sigma_log_b_tt",0.335963696323277,1,0.262314737282044,0.210487632530204,0.0196177584200028,0.11340119315141,-0.0461722044171802,0.221006998067564
"mu_log_b_tc",0.868325316739536,0.262314737282044,1,-0.40671984574009,0.31816597721274,-6.14000979802926e-06,0.437818064880412,-0.212453054617479
"sigma_log_b_tc",-0.240488877290202,0.210487632530204,-0.40671984574009,1,0.0819814243386699,0.22731626010316,-0.148683471246561,0.460317537775491
"mu_log_b_hw",0.386240601855444,0.0196177584200028,0.31816597721274,0.0819814243386699,1,-0.225390737235205,0.408120176306862,0.0766066599566115
"sigma_log_b_hw",0.0378107479246386,0.11340119315141,-6.14000979801851e-06,0.22731626010316,-0.225390737235205,1,0.0921009506105325,0.00636684453137408
"mu_log_b_ch",0.513463013554404,-0.0461722044171802,0.437818064880412,-0.148683471246561,0.408120176306862,0.0921009506105325,1,-0.132082081893978
"sigma_log_b_ch",-0.128035966585991,0.221006998067564,-0.212453054617479,0.460317537775491,0.0766066599566115,0.00636684453137409,-0.132082081893978,1
