"mu_log_b_tt","sigma_log_b_tt","mu_log_b_tc","sigma_log_b_tc","mu_log_b_hw","sigma_log_b_hw","mu_log_b_ch","sigma_log_b_ch","logLike"
-3,0,-3,0,-3,0,-3,0,-2253.90922608432
-3.23901730169513,4.83389900901179e-06,-2.88918297101121,9.45595515690693e-05,-3.62900903181857,0.000302602158805227,-2.9255642472738,-1.71417928725918e-05,-2121.2338282311
-3.8689956088874,-4.23850419876316e-05,-2.45597863569076,0.000740039695820122,-3.49608789723048,0.0015073654047075,-2.51368852427328,-3.76414378741382e-05,-2117.66854479362
-4.25204997284911,-0.00138002950671887,-2.45059996254694,0.00906335582199203,-3.44335414745449,0.0188742702915488,0.771380101756661,-0.000233166864086942,-2082.61460654482
-4.74791100959357,-0.008922804305205,-3.35743597988984,0.0699418759584647,-3.39182094495551,0.18648820472213,0.175403241753949,-0.00690015475164849,-1762.16208423095
-4.52976243993095,-0.0385453058882025,-3.10008099754818,0.148688579607482,-3.41798225159503,2.14554249133828,0.0830291742510744,-0.268202623235196,-1742.1859864417
-3.96589129251231,-0.202624303714744,-2.4051193830345,0.491151590275124,-3.48670916556695,4.51788731425241,-0.0627735667123917,-2.976343861495,-1741.68353663392
-3.02320627592685,-1.76193257403216,-1.207878779268,2.29896314302418,-3.60193411235639,6.33746040045385,-0.206277380129689,-4.90979612076063,-1658.25199699952
-3.02204283706089,-1.76565844178051,-1.20641694877865,2.29629478112057,-3.60207651651179,6.33769096673689,-0.206374158703378,-4.91032197371228,-1658.15181237078
-3.02155210922457,-1.76733949204939,-1.20580185921163,2.2951155279147,-3.60213666587668,6.33780175394455,-0.206415906473798,-4.91056697283947,-1658.12525788303
-3.61290741332625,-1.36407737371761,-2.21786260263194,1.41857045723717,-3.53057432572793,4.27866097858057,-0.0831973933133505,-3.41532841325254,-1615.00399862158
-3.09581435519837,-0.712373831952048,-1.59644880522305,0.929280561092304,-3.59900752805276,2.72651504412448,-0.0616789726349204,-2.53495113904326,-1576.84426771156
-2.51595604701588,-0.203728902685312,-0.961071781164298,0.803621764673152,-3.66493251422172,1.71478119964998,-0.0550621746663666,-2.00425164095075,-1553.24358649857
-2.32284766905389,-0.0115700888443473,-0.797853635232484,0.800592517158912,-3.68279688302182,1.29868832317944,-0.0471097758828065,-1.76801054962891,-1539.94898613639
-2.06824401740741,-0.0180859194846035,-0.978196462216969,0.888636362953231,-3.62828020452008,1.30409672395372,-0.00123685016867561,-1.74670238610538,-1497.76350719565
-2.06419421259832,-0.0484501728732902,-0.980432666429909,0.909909090049448,-3.34044186361494,1.29658895863793,0.297234844153995,-1.63283518020808,-1480.75825915557
-1.98016800459983,-0.266373567450475,-0.840858230398427,1.02435499737621,-3.08128730169551,1.01428189279247,0.643968206773661,-1.23063665914988,-1457.5597049761
-1.93329054605001,-0.459839866749877,-0.81183110722691,0.974844062579422,-2.92961411558743,0.886955519620788,0.789060147191927,-1.00884578545978,-1449.37044531234
-1.93242465226148,-0.450533264343073,-0.806216630124277,0.979733199469253,-2.81733193074629,0.865590368099264,0.720304152280866,-0.907256157938849,-1448.29662921356
-1.94337961798197,-0.439216267264714,-0.825301392736444,0.974957154360628,-2.82146939786054,0.85492921318196,0.721704379231549,-0.892849773895193,-1448.17576661359
-1.99162480747724,-0.471984031455277,-0.881865523254471,1.01363144279177,-2.8292991665177,0.854316112318027,0.70786522452546,-0.879865712245828,-1447.76673720184
-1.95840752863969,-0.456907368076028,-0.990844461527936,0.913164525126668,-3.00395153779784,0.880739679322644,0.625703245404875,-0.761071397785556,-1445.37755513915
-1.95718721421797,-0.456776180792716,-0.998564324599865,0.905073263411855,-2.99397337575865,0.844460984037339,0.616654639457579,-0.787427313577416,-1445.15098257511
-1.99694634678743,-0.494973404229168,-1.01420989454436,0.976651583428832,-2.93491678569558,0.82567458173218,0.62328596426901,-0.851121065198401,-1444.40982034232
-1.98725763732687,-0.468367791975078,-1.02024298208793,0.975120166906461,-2.9395099462529,0.837638076324119,0.629321530343125,-0.859857125060116,-1444.31785875643
-1.97953896155292,-0.458249015058877,-1.02639662398142,0.982003512533612,-2.93775338625965,0.822769447165999,0.628483466465946,-0.852614306819301,-1444.28503300911
-1.97867831731054,-0.455783799332688,-1.0287333936074,0.991632069582597,-2.93872489800531,0.827409158153101,0.628380845421903,-0.851071356877499,-1444.27318166233
-1.97914812006291,-0.454663743548915,-1.03054500661473,1.00047500437597,-2.9374587964656,0.830218916797275,0.629069928165208,-0.84722127814759,-1444.26961736025
-1.97927693832604,-0.455237090211306,-1.03059369417668,0.999536603051158,-2.93764456679324,0.831004476476955,0.629163964870385,-0.846728340103215,-1444.26948158023
-1.97934142125108,-0.455072875384237,-1.03076444605614,0.999627115455681,-2.937608479848,0.831095071071495,0.629141843882485,-0.846490446859098,-1444.26947596983
-1.9793424527014,-0.455071073451115,-1.03076489712318,0.99962663194348,-2.93760734036986,0.831095631486148,0.629142332906906,-0.846489428285356,-1444.26947596851
