"asc_bus","asc_air","asc_rail","asc_bus_shift_female","asc_air_shift_female","asc_rail_shift_female","b_tt_car","b_tt_bus","b_tt_air","b_tt_rail","b_tt_shift_business","b_access","b_cost","b_cost_shift_business","cost_income_elast","b_wifi","b_food","mu_SP","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-9366.88060848319
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-9366.88060848319
-3.59082666784525e-05,-9.62560027837754e-07,2.79005866870284e-05,-1.67458133399487e-05,-1.36533342301846e-07,1.35645866766572e-05,0.00252978345260024,-0.0134142464244738,-5.14730668440461e-05,0.00404606293193996,-0.00469789866667241,-0.000187374933362007,0.000178781866617501,0.000511291733309627,0,1.43615999817848e-05,6.86762664467097e-06,1,-8832.60684578969
-3.59114268993671e-05,-1.58607100661168e-06,2.96834278204081e-05,-1.67489769932529e-05,-3.25158004514368e-07,1.45636900907638e-05,0.00209946939401187,-0.0134390367956727,-9.08797429737142e-05,0.00430920576211271,-0.00504393203121625,-0.00019408160988072,2.73902481479407e-05,0.000521143267028728,1.42570226638935e-08,1.60613129257846e-05,6.98514571576748e-06,0.999994259670432,-8761.2221478139
-2.83175075315735e-05,-3.14891363184015e-05,4.07336588333827e-05,-1.32672106067771e-05,-1.08863689153989e-05,2.35054346455117e-05,0.00369890483504346,-0.011374499166475,-0.00203057324073578,0.00612993583875041,-0.0118369084587254,-0.00143030155468677,-0.0059843513583041,0.000332895392853446,1.1592190420557e-08,5.42450744693889e-05,-5.5854770705051e-06,0.99981941112639,-8383.89868876546
-2.81752349982117e-05,-2.03621293697865e-05,2.47266211622871e-05,-1.32073937268817e-05,-1.94434973297917e-06,1.91119849851967e-05,0.00297324001135499,-0.012074732468807,-0.00101368929832037,0.00403614951321298,-0.013143147249021,-0.00138546444091984,-0.0103427102619077,-0.000312591455961338,-9.30198985049457e-06,9.84475590940647e-05,-1.44357481620559e-05,0.999613261551149,-8238.80010628264
-2.64604661376898e-05,-1.49277754946102e-05,-7.00116727011826e-05,-1.23904363526696e-05,6.59648878696716e-05,3.02552953000662e-05,-0.00713518194840762,-0.0245460360719588,0.00330322618781103,-0.0056017914254728,-0.00763561568276024,-0.00656311604936281,-0.0877240759513169,-0.0156037128218844,-0.000245641040289788,0.000883499200187051,-0.000168191041037109,0.996122537381156,-8115.85218856924
9.54840000761726e-07,-0.000101072388568015,-0.000109762060874523,3.08595272201857e-06,0.000102521536614304,7.21593211642035e-05,-0.0117568069248664,-0.0282346116267563,-0.0073170223547461,-0.0136004317812217,-0.0057211144065904,-0.0183982358575956,-0.0938122259958147,-0.00364870295168349,-0.00187000754484529,0.00192426956966828,-0.000276635348908469,0.99084649614897,-7964.62016454143
0.000234765885885414,0.000176825488508265,-0.000485467953757005,0.000140823023765234,0.000753671504376807,0.000325436351731418,-0.0120787765266871,-0.0285664067579062,0.0100574376263259,-0.0087318114132901,0.00486370459330312,-0.0311052179244659,-0.118644199339248,0.0710457355840381,-0.0144965780909944,0.00981847418363001,-0.000929008074298476,0.95770787644536,-7848.00768625441
0.000433810631880963,0.000425576805591922,-0.000812746913830597,0.000281913974778853,0.0013262353723631,0.000557007537334007,-0.0122453156397905,-0.0296476109347918,0.000396670915605829,-0.0100938300399278,0.00674685571202496,-0.013583571102021,-0.123719613778184,0.0824786358378305,-0.0278037191398922,0.0168341478428093,-0.00148694061055197,0.929012439661584,-7791.73158858042
0.00249329670521606,0.00255291289432418,-0.00400071042844448,0.00179928967859738,0.00692615708731819,0.00296618369518176,-0.0112342278487857,-0.0296846313171269,0.00471296451233907,-0.00770959950719462,0.0059557030714403,-0.0143831851245856,-0.128190487676741,0.0758952818434631,-0.170352387886846,0.0886152472092603,-0.00683347852460235,0.635047635116958,-7275.39950996781
0.00309116772320663,0.00470617050600077,-0.00617022036592895,0.00449214543838619,0.00999660419100474,0.00301596931647523,-0.0119589092217632,-0.0302671518831284,0.00374325380994422,-0.00889208135835688,0.00644586490691958,-0.0153831410761323,-0.131185463283664,0.0797841234116121,-0.293341330746496,0.130807979804995,0.0033569733526891,0.671814566403372,-7227.93486978209
0.0169751087289547,0.0502232318272931,-0.0583119352722526,0.1078574707927,0.0493647875187156,-0.0170477678669119,-0.0127490842711852,-0.0305784211368106,-0.000952094653201617,-0.0121099997961191,0.0060312256468396,-0.0211581798723997,-0.130495468799314,0.077777223041156,-0.220076112974156,1.00522283220369,0.336090184219651,0.778245822048736,-7192.44055365159
0.0361569739407008,0.0950183831237163,-0.128773900494259,0.237717938039309,0.0677534589940799,-0.00584880940389358,-0.012570698099909,-0.0306704712236513,-0.00232119376357893,-0.0123092167296693,0.00610354226476947,-0.0217550114182838,-0.131970141345673,0.0783915063151595,-0.237405787631937,1.07800188897862,0.894173642554592,0.77130961638956,-7187.3782521429
0.538743142383907,1.13061399620296,-2.10241277421768,3.6664192744679,0.141741875999861,0.494944094520036,-0.0156381793964466,-0.0382948786947775,-0.0183061351482982,-0.00476835332782099,0.00576211043035996,-0.0349439032340119,-0.142750827581509,0.0876887343787386,-0.479687553509422,1.25104354510109,0.852348590106379,0.745985929882918,-6931.84927090648
0.573874144705674,1.18319668458708,-2.25560515039738,3.60597437569353,0.428436504206053,0.242099598671798,-0.0159874135614283,-0.038500348778506,-0.0207157015328492,-0.00326789073029008,0.00563555796851835,-0.0368524874950563,-0.143934546969206,0.0884480734354532,-0.505085613428326,1.25563508503946,0.843492305330944,0.738344935877757,-6894.48793460379
0.737105955764077,1.12344117204118,-2.91124341054164,0.853985764601855,0.90219317773726,0.906706282796575,-0.0179339722151696,-0.0367958871417221,-0.0265524369294369,-0.00441380600968221,0.00472307046404592,-0.0415415950040015,-0.151903960287937,0.0940833706623074,-0.66935107110827,1.46034687925272,0.865304287944181,0.682438209586582,-6684.2802736822
0.873555106841491,0.566855655552919,-2.75448982152263,-0.245681080233365,-0.813654207708411,-0.281018128215708,-0.0199647268150887,-0.0376191370224817,-0.0203480748728998,-0.00655342308928121,0.00430406384680312,-0.0345757402776082,-0.155633919902961,0.0979671953960968,-0.769341720602462,1.57925073484761,0.908793544348897,0.623728643097116,-6651.37615867819
1.44764322007976,-1.86230924610358,-0.853379477816206,0.225241213619054,-0.352429424970273,-0.0761251062125775,-0.0198421752368711,-0.0398665853081043,-0.00137735121093731,-0.0223442445640034,0.0027945621000438,-0.018806134251573,-0.153755228793962,0.0967438049400732,-0.720356425408585,1.67753714111634,0.894260751149226,0.56097055132657,-6498.76843045773
2.56949702366528,-1.36952155305003,-2.35263490467941,-0.16075400832424,-0.211880876876809,-0.0297985655577579,-0.0206700651997895,-0.0416416255417815,-0.0125757778414909,-0.0144887397274919,-0.00020561832557584,-0.0269474152078864,-0.145616409599658,0.0881187644767723,-0.5874583925189,1.7825519217754,0.854378876785551,0.598532199082281,-6350.24943714394
2.66966229381565,-0.850629536453409,-1.33314600220599,0.15169350473359,0.036045096761472,0.0823651651077178,-0.0193504080728748,-0.0400386389748296,-0.0170801916462514,-0.0197143618446062,-0.00245419134922148,-0.0299263359575534,-0.139802510639738,0.0813327589653946,-0.564063017050751,1.84748317458639,0.82425963214399,0.643108529279385,-6267.58418818165
-1.35099793197568,3.6632647515117,-2.73316324378821,1.09294163979601,0.94456209087157,0.612445120654686,-0.0141441749285039,-0.0198956877784757,-0.0637816374709022,-0.00228830250086864,-0.0153159138125479,-0.0604274736600581,-0.103846674217655,0.025514891861965,-0.384358411142877,1.67376684226596,0.652096768215205,0.635654699532544,-6225.26245940956
2.07904077717281,-4.6973576439993,-4.2246697411346,0.768108195740616,0.794104296446315,0.456800148116616,-0.0216009096236543,-0.0368548949331615,-0.0100957627803741,-0.0131061504501274,-0.0129798408558758,-0.0128846496078153,-0.100785069976119,0.0379825910325154,-0.51110170954026,1.81058430229918,0.771763538529552,0.743651372851745,-6134.82567848889
0.473957207597485,0.211455087814693,0.336286140469626,0.0608579912120162,0.0210730803351686,0.0668717485742633,-0.0147270853345802,-0.0270891678716954,-0.0218957584187672,-0.0235086584187901,-0.00722006626582626,-0.0296619644687862,-0.116126822402634,0.0564617087030916,-0.574614349929008,1.60041430123424,0.739564765115054,0.682498474862323,-6112.27433677221
0.00819175818424067,-0.303585182922725,-1.84003736936118,0.537952605546372,0.367249054057315,0.263139698795535,-0.0156631472233821,-0.0254467013937412,-0.0274504595906216,-0.0128648881124377,-0.0104545746779942,-0.0308267713941589,-0.101381430139072,0.0406680066630701,-0.538235418218903,1.53773903415679,0.68192177176264,0.728616968460605,-6042.26521075427
0.688985167950576,-1.19203938668813,-2.52840997642586,0.598469631277283,0.475996504524975,0.308166036999718,-0.0152745095135265,-0.0254847755709681,-0.0227142615962598,-0.00929749636980419,-0.0112329943615849,-0.0252089639445307,-0.0857517163445357,0.0308042402315354,-0.550500962559105,1.37802510004609,0.596382939022774,0.82483878178507,-5997.49998184137
0.165017038805691,-1.9622770225824,-3.2059904004712,0.546052215077271,0.423838257166218,0.277223314966658,-0.0131497518684653,-0.0199449820455742,-0.0134082213610115,-0.00220007562202217,-0.00914446396490761,-0.0158374474627466,-0.0610350622679286,0.0210239656563218,-0.603968005494035,1.01148639474057,0.442168223293679,1.00653955786386,-5930.27837411506
1.70464426193322,-0.256877965033898,-1.1291457147233,0.162714955596031,0.221278974838293,0.171251269172061,-0.0084601631694176,-0.0182202550198914,-0.0131314424915787,-0.00569934719201032,-0.00440970338048398,-0.0167414084650436,-0.0515461793827094,0.0232240119548211,-0.677905454973793,0.778425049855404,0.345218520059253,1.17177521537914,-5886.22683921176
0.762958424650321,-0.386657602658183,-1.16009253495303,0.266873870398268,0.198049268938413,0.157188809599708,-0.00882005328831922,-0.0163939248970708,-0.0124585479305439,-0.00613882031849429,-0.00407263968108058,-0.0158822667310828,-0.0540394927341103,0.0253756065497092,-0.683450767887005,0.815000504100182,0.360614347607921,1.17159267979915,-5869.81232382765
0.542777704020084,-0.436841525725692,-1.78956115356022,-0.120133017442124,0.202383052592789,0.14336769593669,-0.0108421961843727,-0.0179132060069236,-0.0172659482314693,-0.00550318174708207,-0.00589172317061921,-0.0185298874261146,-0.0644236659403011,0.0250285405986906,-0.641846048711037,0.919997406038002,0.386363814765833,1.14830992006875,-5868.96296952866
-0.187982408184565,-0.473187486356203,-1.14062754315285,0.623786090394317,0.169060469173186,0.116841947228556,-0.00974527385389025,-0.0155208206494151,-0.0144911499329427,-0.0081033523124901,-0.00561169603289085,-0.0162154748399233,-0.0596982741276929,0.0240424750805348,-0.627467969165405,0.817737907159124,0.336813279122643,1.2279070506339,-5851.95945964193
-0.459712606066485,-0.619905052291161,-1.25719741596845,0.558034281747873,0.178203217523238,0.127422433831466,-0.00963951646569531,-0.0144570540924134,-0.0130999742709697,-0.00733608558770948,-0.00514759738586409,-0.0151244474955018,-0.0579167555091734,0.0246417836620466,-0.629045134179676,0.807466674537644,0.338778145062031,1.25078599629165,-5843.99677495582
0.38131185658568,-0.387857729125518,-1.48153416189364,0.22227524648879,0.168709623232515,0.136943707460508,-0.0086714199669639,-0.0150203141084106,-0.0124942795420947,-0.00394431666089224,-0.0035051731035874,-0.0148434527728664,-0.0534198746481392,0.0245215542241511,-0.628382255167184,0.789832614126434,0.353423662251401,1.34722571271305,-5833.6258641717
0.179966846397944,-0.421106137258689,-1.35587798334704,0.176399696441849,0.17754382225711,0.13869112083061,-0.0085567880000505,-0.0142022662131185,-0.0120753911664376,-0.00465703207418443,-0.00364150532888972,-0.0144598930918107,-0.052826205732421,0.0242889233043111,-0.624658661685365,0.778547046962754,0.344135817576822,1.36097195651788,-5829.93252634068
-0.362341404942804,-0.838003257253887,-1.57122051708686,0.2602056738173,0.171690425815614,0.136396197580485,-0.00913500857255622,-0.0130440326646827,-0.0104153134945633,-0.00462590503899465,-0.00427913558633986,-0.0128129744440163,-0.0512666885170534,0.0235713475816106,-0.600996780815792,0.673606850275441,0.289202951468199,1.43842179033411,-5822.23065626669
-0.448073966235619,-0.496041465551099,-0.913224210068354,0.271332711189336,0.21068009897796,0.130023347040153,-0.00783111588122501,-0.0113003778458334,-0.0110212963813578,-0.00685948801781463,-0.00477543223212328,-0.0132127749842105,-0.0474019892739539,0.0178474470976758,-0.585128071843091,0.719032128282924,0.296011405705078,1.52477828461463,-5819.73333052167
0.392210216220172,-0.250808160116294,-0.816015082779413,0.186734968019554,0.17165600094695,0.123579596536021,-0.00740847935377134,-0.0130094555689787,-0.0112753421219394,-0.00624381663625041,-0.00368995153235413,-0.0132444568308535,-0.0480380271766375,0.0222615363139282,-0.59188918177519,0.670576545754738,0.289025660628245,1.58420140392722,-5813.33564791634
0.316090826055673,-0.293501106922302,-0.922968924533922,0.171084292813255,0.15979181288651,0.118458936975399,-0.00743201922177182,-0.0127545464062255,-0.0109867307373326,-0.00558304517498057,-0.00361497587001285,-0.0129481310840862,-0.0471954399122522,0.0215951886397628,-0.59268175988668,0.645421424337405,0.275487917821962,1.60204924636019,-5811.16458606526
0.0544019530632334,-0.670407400032717,-1.46270012952289,0.233915168833136,0.165795777692794,0.128298246496434,-0.00790204859088792,-0.0123031838443836,-0.00946364642651527,-0.00337046693251293,-0.00367281307968653,-0.0121112953525526,-0.0440590686394347,0.0190916985218616,-0.593799233954087,0.628764712311868,0.279387314113728,1.70819837709804,-5808.05627658998
0.0544019633451165,-0.670407419246129,-1.46270005982399,0.233915157029676,0.165795769552788,0.128298254018541,-0.0079079152115999,-0.012298447174575,-0.00946611966632082,-0.00336472608459752,-0.00367808386840454,-0.0121110266664033,-0.0440607484303264,0.0190919879092963,-0.59379934727329,0.628764689628546,0.279387269116188,1.70819846506656,-5808.03653217544
0.0544019935094601,-0.670407570202312,-1.46269966510565,0.233915039267165,0.165795707086452,0.12829823749307,-0.00789033926898962,-0.0122796782815942,-0.00948552052000075,-0.00334177381458291,-0.00371095730692959,-0.0121118817603804,-0.0440753462987701,0.0190931597837494,-0.59380023124901,0.628764461838882,0.279386868741152,1.70819915866145,-5807.98573861698
