"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"mu_log_b_tt",-1.9793424527014,0.0871056346880662,-22.7234720209504,0.113910240053583,-17.3763346628918
"sigma_log_b_tt",-0.455071073451115,0.0817446380072397,-5.56698377465213,0.0847192188690129,-5.37152112031055
"mu_log_b_tc",-1.03076489712318,0.129858583543979,-7.93759541335277,0.160986550836732,-6.40280130088973
"sigma_log_b_tc",0.99962663194348,0.106022452434531,9.42844283441522,0.115584416175293,8.6484550860859
"mu_log_b_hw",-2.93760734036986,0.0852632338932314,-34.4533887143947,0.090726671620237,-32.3786521417436
"sigma_log_b_hw",0.831095631486148,0.116165859140218,7.1543880244795,0.124322880508842,6.68497727919874
"mu_log_b_ch",0.629142332906906,0.0745458163751893,8.43967325732179,0.083172266890024,7.5643283083627
"sigma_log_b_ch",-0.846489428285356,0.118716492045486,-7.1303440128691,0.149175486642147,-5.6744539423959
