"b_w","mu_x","sigma_beta","mu_alpha","sigma_alpha","rho","scale_SP","logLike"
2,2,1,0,1,0.7,2,-1534.46534837216
2,2,1,0,1,0.7,2,-1534.46534837216
1.84563267353224,2.11964433579124,0.919674154079985,-0.0178795227839146,1.10623507223499,0.74779140217579,2.03469918374321,-1505.92332952141
1.48598272396027,1.97851407510123,1.1106810780372,0.0279679486588231,1.25981875406286,0.704666781942788,2.09690281995768,-1503.51263144429
1.47696676408257,1.9827066594111,1.17669034745871,0.00996321523239511,1.26214572822556,0.783724349217094,2.16206470628909,-1501.54433654018
1.47102907649392,1.98254051133377,1.22852674868603,-0.000212576180448735,1.26807794002521,0.853781209353951,2.21113162738953,-1499.98648361911
1.50472530954998,1.96325266542454,1.27690385039135,-0.0611210090258634,1.34990020318018,0.898312096688946,2.27233205475193,-1498.72566375954
1.58123303242848,1.97308913672424,1.35706722593758,-0.0486085124134107,1.49029965031924,0.928853255740207,2.41322330340871,-1496.83309283993
1.5773281386212,1.91230066351521,1.31633937024472,-0.0526755995563628,1.4959407763159,0.979068605272905,2.51174391175893,-1495.43093377034
1.57645258563611,1.91216772278177,1.31953114188416,-0.0541061128757236,1.49716311459162,0.986578123286079,2.51334431697143,-1495.21792577369
1.57555156671436,1.91036769547193,1.32082871922493,-0.0546145966283271,1.49709026159035,0.992768650878549,2.5174326896393,-1495.07916495963
1.57925178009005,1.91240501096695,1.26605027803886,-0.032614221914016,1.50874160377061,0.995193137959562,2.48515274427775,-1493.22572309311
1.59199779462395,1.91886571808458,1.21579839856207,-0.0206222132287207,1.53048180726296,0.996725849994258,2.44433900697658,-1491.60942708782
1.59443395202249,1.91962738577433,1.21012849729913,-0.0198594452825828,1.53491908564204,0.998982106225235,2.44044782302513,-1491.37047315104
1.59470443807046,1.91967891105379,1.20957288635695,-0.0198088261052919,1.53545032201355,0.999405697522609,2.44012769262829,-1491.34066294166
1.59468449499951,1.92008755071366,1.20927173640671,-0.0198793928969837,1.53556479448299,0.999790343303623,2.44017998694092,-1491.30664380277
1.59468056682408,1.92016887829102,1.20921169898797,-0.0198933764260448,1.53558751278112,0.999880146729567,2.44019040152429,-1491.29902454363
1.59467665056551,1.92025013192194,1.20915169127435,-0.0199073332820273,1.53561019434614,0.999980041623505,2.44020080804125,-1491.29014802947
1.59467649438951,1.9202533797415,1.20914929141641,-0.0199078904665726,1.53561110008871,0.999986392521433,2.44020122406549,-1491.28955855054
1.59467633823198,1.9202566275667,1.2091468914551,-0.0199084476018277,1.5356120057587,0.999993577382381,2.44020164009397,-1491.28882009791
1.59467630700416,1.92025727714973,1.20914641142331,-0.0199085590186621,1.53561218687733,0.999995450120357,2.44020172330284,-1491.28860358628
1.59467627577707,1.9202579267438,1.20914593137516,-0.0199086704332613,1.53561236799244,0.999997585383778,2.44020180651337,-1491.288319779
1.5946762695318,1.9202580566665,1.20914583536043,-0.0199086927157155,1.5356124042147,0.999998137249551,2.44020182315605,-1491.28823491911
1.59467626328656,1.92025818659065,1.20914573934395,-0.0199087149980673,1.53561244043678,0.999998754091903,2.44020183979893,-1491.28812808528
1.59467625704135,1.92025831651683,1.20914564332508,-0.0199087372803119,1.53561247665867,0.999999494482714,2.44020185644209,-1491.28796459922
1.59467625579231,1.92025834250278,1.2091456241205,-0.0199087417367387,1.53561248390301,0.999999774852155,2.44020185977082,-1491.28787543207
